Index,Offset,Section,Type,Length,String
0,0x00000053,.text,ascii,4,8MZu
1,0x00000058,.text,ascii,5,HcP<H
2,0x00000171,.text,ascii,4,D$ H
3,0x00000190,.text,ascii,9,AUATUWVSH
4,0x000001a8,.text,ascii,4,D$ L
5,0x000003ed,.text,ascii,8,[^_]A\A]
6,0x00000492,.text,ascii,8,[^_]A\A]
7,0x00000561,.text,ascii,101," Go build ID: ""_R2uLu4vP8lkppXarS-Y/iDL5kkN5EKzGwmB6v0KN/qVitI-cy7CShaqAv8qaa/hbapqqFpUuyGwHqvPrhB""
 "
8,0x000005f6,.text,ascii,4,D$ H
9,0x000005fb,.text,ascii,4,\$(f
10,0x00000607,.text,ascii,4,D$ H
11,0x000006d4,.text,ascii,6,8cpu.u
12,0x000006ee,.text,ascii,4,D$PH
13,0x000006f3,.text,ascii,4,t$xH
14,0x00000737,.text,ascii,4,L$HH
15,0x0000073c,.text,ascii,5,\$`H)
16,0x00000748,.text,ascii,4,\$ M
17,0x0000075e,.text,ascii,4,\$XH
18,0x00000770,.text,ascii,5,onuxH
19,0x0000078f,.text,ascii,5,ofuYF
20,0x0000079c,.text,ascii,4,fuMH
21,0x000007c8,.text,ascii,4,"=[
4"
22,0x000007e2,.text,ascii,4,T$@1
23,0x00000807,.text,ascii,4,D$XH
24,0x00000827,.text,ascii,4,D$`H
25,0x0000084c,.text,ascii,4,t$xL
26,0x0000085b,.text,ascii,4,L$(H
27,0x0000087b,.text,ascii,4,D$hH
28,0x000008a0,.text,ascii,4,t$xL
29,0x000008b6,.text,ascii,4,"e	4"
30,0x000008c7,.text,ascii,4,D$P1
31,0x00000904,.text,ascii,4,D$HH
32,0x00000909,.text,ascii,4,|$xH
33,0x0000090e,.text,ascii,4,T$@H
34,0x0000092e,.text,ascii,4,D$xH
35,0x00000953,.text,ascii,4,D$PH
36,0x00000958,.text,ascii,4,L$pH
37,0x00000a00,.text,ascii,4,D$8L
38,0x00000a05,.text,ascii,4,\$0H
39,0x00000a16,.text,ascii,4,T$@H
40,0x00000a1b,.text,ascii,4,\$`H
41,0x00000a20,.text,ascii,4,t$xL
42,0x00000a25,.text,ascii,4,D$PL
43,0x00000a2a,.text,ascii,4,L$HD
44,0x00000a4d,.text,ascii,5,D$0H9
45,0x00000a83,.text,ascii,4,t$xL
46,0x00000aa8,.text,ascii,4,D$`H
47,0x00000acd,.text,ascii,4,t$xL
48,0x00000bb0,.text,ascii,4,l$(H
49,0x00000bb5,.text,ascii,4,l$(H
50,0x00000c29,.text,ascii,4,"u\9"
51,0x00000c34,.text,ascii,4,"k\9"
52,0x00000c42,.text,ascii,4,"^\9"
53,0x00000c50,.text,ascii,4,"Q\9"
54,0x00000c5e,.text,ascii,4,"D\9"
55,0x00000c6c,.text,ascii,4,"8\9"
56,0x00000c7a,.text,ascii,4,"+\9"
57,0x00000d31,.text,ascii,4,"o[9"
58,0x00000d44,.text,ascii,4,"][9"
59,0x00000d57,.text,ascii,4,"K[9"
60,0x00000d6e,.text,ascii,4,"6[9"
61,0x00000d81,.text,ascii,4,"$[9"
62,0x00001005,.text,ascii,4,l$(H
63,0x00001040,.text,ascii,4,l$(H
64,0x0000104a,.text,ascii,4,l$(H
65,0x00001054,.text,ascii,4,l$(H
66,0x000010e8,.text,ascii,4,D$(H
67,0x000010ed,.text,ascii,4,\$0H
68,0x00001105,.text,ascii,4,T$(H
